anju,alcohol,explanation,score
squid,can_beer,다른 안주보다 오징어가 끌리는 날이 있죠. 훌륭한 조합입니다!,90
squid,bottle_beer,다른 안주보다 오징어가 끌리는 날이 있죠. 훌륭한 조합입니다!,90
squid,live_beer,다른 안주보다 오징어가 끌리는 날이 있죠. 훌륭한 조합입니다!,90
squid,makgeolli,막걸리가 오징어의 비린맛을 끌어올려요...,30
squid,kettle_makgeolli,막걸리가 오징어의 비린맛을 끌어올려요...,30
squid,bottle_wine,와인과 오징어! 신선한 조합입니다!,30
squid,glass_red_wine,와인과 오징어! 신선한 조합입니다!,30
squid,glass_white_wine,"해산물과 잘 어울리는 화이트와인, 오징어와의 조합은 어떨까요?",50
squid,sake_pack,사케와 먹으면 오징어의 맛이 잘 느껴지지 않을수도...?,40
squid,liquor,간편하게 즐길 수 있는 좋은 조합입니다.,50
sushi,soju,"달큰한 회 한점에 소주 한잔이면, 하루에 피로가 가시는 느낌이죠",90
sushi,fruit_soju,"달큰한 회 한점에 소주 한잔이면, 하루에 피로가 가시는 느낌이죠",90
sushi,can_beer,맥주도 좋아요. 회는 안어울리는 음식이 있을까요?,85
sushi,bottle_beer,맥주도 좋아요. 회는 안어울리는 음식이 있을까요?,85
sushi,live_beer,맥주도 좋아요. 회는 안어울리는 음식이 있을까요?,85
sushi,makgeolli,"막걸리도 나쁘지 않은 선택입니다. 그래도 소주, 맥주보단 좀 그렇죠잉?",70
sushi,kettle_makgeolli,"막걸리도 나쁘지 않은 선택입니다. 그래도 소주, 맥주보단 좀 그렇죠잉?",70
sushi,bottle_wine,찾았다. 회와 안어울리는 술..,32
sushi,glass_red_wine,찾았다. 회와 안어울리는 술..,33
sushi,glass_white_wine,찾았다. 회와 안어울리는 술..,34
sushi,sake_pack,사케와 함께라면 즐거운 술자리!,96
sushi,liquor,안돼요... 이 자리에 양주는...,30
tofukimchi,soju,두부김치에 소주... 배우신 분,80
tofukimchi,fruit_soju,술을 잘 모르시는 분,20
tofukimchi,can_beer,"안주로 배 채우시는 분, 멀리하세요.",10
tofukimchi,bottle_beer,"안주로 배 채우시는 분, 멀리하세요.",10
tofukimchi,live_beer,"안주로 배 채우시는 분, 멀리하세요.",10
tofukimchi,makgeolli,"정말 잘 배우신 분, 술자리 인싸스타일",85
tofukimchi,kettle_makgeolli,"정말 잘 배우신 분, 술자리 인싸스타일",85
tofukimchi,bottle_wine,K-winebar를 지향하시지만 혈관 속엔 소주가 흐르는 스타일,50
tofukimchi,glass_red_wine,K-winebar를 지향하시지만 혈관 속엔 소주가 흐르는 스타일,50
tofukimchi,glass_white_wine,K-winebar를 지향하시지만 혈관 속엔 소주가 흐르는 스타일,50
tofukimchi,sake_pack,술에 대해 배우려는 의지가 있으신 분들,70
tofukimchi,liquor,은근 깔끔할수도 있겠습니다.,50
tteokbokki,soju,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ왜 웃는지 아시려나,10
tteokbokki,fruit_soju,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ소주보단 낫네요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,15
tteokbokki,can_beer,"떡볶이에 맥주라니, 숨은 맛의 조합을 찾아내셨군요! 좋은 시도입니다!",65
tteokbokki,bottle_beer,"떡볶이에 맥주라니, 숨은 맛의 조합을 찾아내셨군요! 좋은 시도입니다!",65
tteokbokki,live_beer,"떡볶이에 맥주라니, 숨은 맛의 조합을 찾아내셨군요! 좋은 시도입니다!",65
tteokbokki,makgeolli,막걸리에 사이다 섞어봐요. 신세계를 맛보실 수 있습니다.,70
tteokbokki,kettle_makgeolli,막걸리에 사이다 섞어봐요. 신세계를 맛보실 수 있습니다.,70
tteokbokki,bottle_wine,음.. 잘 모르겠어요.. 진짜 잘 모르겠어요.. 무슨 의도이신지..,11
tteokbokki,glass_red_wine,음.. 잘 모르겠어요.. 진짜 잘 모르겠어요.. 무슨 의도이신지..한 잔이라면 추천..하지 않아요 그래도,12
tteokbokki,glass_white_wine,음.. 잘 모르겠어요.. 진짜 잘 모르겠어요.. 무슨 의도이신지..,13
tteokbokki,sake_pack,비상한 생각을 갖고 계시네요. (비상 : 형용사 : 비위가 상하는 ),10
tteokbokki,liquor,비상한 생각을 갖고 계시네요. (비상 : 형용사 : 비위가 상하는 ),10
gambas,soju,독특하지만 생각보다는 더 잘 어울린다는 사실!,75
gambas,fruit_soju,독특하지만 생각보다는 더 잘 어울린다는 사실!,78
gambas,can_beer,감바스와 맥주가 당신의 배를 든든하게 채워줍니다.,94
gambas,bottle_beer,감바스와 맥주가 당신의 배를 든든하게 채워줍니다.,94
gambas,live_beer,감바스와 맥주가 당신의 배를 든든하게 채워줍니다.,94
gambas,makgeolli,의외의 조합일 수 있지만 나쁘지는 않습니다!,63
gambas,kettle_makgeolli,의외의 조합일 수 있지만 나쁘지는 않습니다!,63
gambas,bottle_wine,와인에는 역시 감바스가 최고죠! 플러스 천점!,100
gambas,glass_red_wine,와인에는 역시 감바스가 최고죠! 플러스 천점!,100
gambas,glass_white_wine,와인에는 역시 감바스가 최고죠! 플러스 천점!,100
gambas,sake_pack,사케의 깔끔한 맛과 의외로 잘 어울리죠,70
gambas,liquor,높은 도수의 술과 감바스는 잘 어울려요,80
parboiled_squid,soju,오징어숙회와 소주는 클래식이죠~! 깔끔한 느낌이네요!,97
parboiled_squid,fruit_soju,어울릴 듯 안어울릴 듯?! ,83
parboiled_squid,can_beer,오징어 숙회는 여름철 맥주 술안주로 최고입니다!,90
parboiled_squid,bottle_beer,오징어 숙회는 여름철 맥주 술안주로 최고입니다!,90
parboiled_squid,live_beer,오징어 숙회는 여름철 맥주 술안주로 최고입니다!,90
parboiled_squid,makgeolli,오징어숙회는 막걸리와도 잘 어울리죠. 특히 여름에 먹기 좋은 조합!,88
parboiled_squid,kettle_makgeolli,오징어숙회는 막걸리와도 잘 어울리죠. 특히 여름에 먹기 좋은 조합!,88
parboiled_squid,bottle_wine,와인과도 깔끔한 맛을 자랑하는 오징어숙회! 어디에나 잘 어울립니다.,90
parboiled_squid,glass_red_wine,와인과도 깔끔한 맛을 자랑하는 오징어숙회! 어디에나 잘 어울립니다.,90
parboiled_squid,glass_white_wine,와인과도 깔끔한 맛을 자랑하는 오징어숙회! 어디에나 잘 어울립니다.,95
parboiled_squid,sake_pack,흔한 픽은 아니지만! 가볍고 건강하게 먹기 좋은 조합이에요.,82
parboiled_squid,liquor,글쎄요... ... 다시 생각해보시는 건 어떨까요?!,58
taco,soju,타코에 소주? 멕시코에서 데킬라를 마시는데는 다 이유가 있지요~,40
taco,fruit_soju,타코에 과일소주? 멕시코에서 데킬라를 마시는데는 다 이유가 있지요....,40
taco,can_beer,타코+ 맥주= 환상의 궁합! 최고의 케미! 먹고 나면 배부르겠네요~,95
taco,bottle_beer,타코+ 맥주= 환상의 궁합! 최고의 케미! 먹고 나면 배부르겠네요~,95
taco,live_beer,타코+ 맥주= 환상의 궁합! 최고의 케미! 먹고 나면 배부르겠네요~,95
taco,makgeolli,동서양의 조화가 새롭지만 맛의 조합은 보통!,60
taco,kettle_makgeolli,동서양의 조화가 새롭지만 맛의 조합은 보통!,60
taco,bottle_wine,타코의 강렬한 맛이 와인의 맛을 제대로 느끼지 못하게 합니다 ㅜㅜ,40
taco,glass_red_wine,타코의 강렬한 맛이 와인의 맛을 제대로 느끼지 못하게 합니다 ㅜㅜ,40
taco,glass_white_wine,타코의 강렬한 맛이 와인의 맛을 제대로 느끼지 못하게 합니다 ㅜㅜ,40
taco,sake_pack,타코에 사케? 멕시코에서 데킬라를 마시는데는 다 이유가 있지요~,50
taco,liquor,타코는 도수가 높은 술과 의외로 괜찮은 조합일지도 몰라요~,70
pasta,soju,파스타에 소주...? 애인이 싫어할지도 몰라요. 혼자서만 먹기로 약속~,30
pasta,fruit_soju,파스타에 소주...? 애인이 싫어할지도 몰라요. 혼자서만 먹기로 약속~,30
pasta,can_beer,간편하게 먹기 괜찮은 조합입니다!,65
pasta,bottle_beer,간편하게 먹기 괜찮은 조합입니다!,65
pasta,live_beer,간편하게 먹기 괜찮은 조합입니다!,65
pasta,makgeolli,떡국과 와인을 먹는 느낌일까요? 새로운 도전정신을 칭찬합니다!,30
pasta,kettle_makgeolli,떡국과 와인을 먹는 느낌일까요? 새로운 도전정신을 칭찬합니다!,30
pasta,bottle_wine,좋은 와인은 좋은 파스타에 곁들이기 좋습니다!,97
pasta,glass_red_wine,좋은 와인은 좋은 파스타에 곁들이기 좋습니다!,97
pasta,glass_white_wine,좋은 와인은 좋은 파스타에 곁들이기 좋습니다!,97
pasta,sake_pack,이자카야에서 파스타를 안파는 이유가 있겠죠?,50
pasta,liquor,독주와 의외로 괜찮은 조합이에요!,70
